year,city,country,avg_temp
1743,Oslo,Norway,-1.07
1744,Oslo,Norway,3.90
1745,Oslo,Norway,-5.97
1746,Oslo,Norway,
1747,Oslo,Norway,
1748,Oslo,Norway,
1749,Oslo,Norway,
1750,Oslo,Norway,3.57
1751,Oslo,Norway,3.06
1752,Oslo,Norway,-2.24
1753,Oslo,Norway,2.15
1754,Oslo,Norway,2.18
1755,Oslo,Norway,1.80
1756,Oslo,Norway,2.31
1757,Oslo,Norway,2.52
1758,Oslo,Norway,1.45
1759,Oslo,Norway,2.64
1760,Oslo,Norway,1.75
1761,Oslo,Norway,2.97
1762,Oslo,Norway,1.90
1763,Oslo,Norway,1.91
1764,Oslo,Norway,2.13
1765,Oslo,Norway,1.45
1766,Oslo,Norway,2.93
1767,Oslo,Norway,1.66
1768,Oslo,Norway,1.73
1769,Oslo,Norway,2.03
1770,Oslo,Norway,1.80
1771,Oslo,Norway,1.50
1772,Oslo,Norway,1.73
1773,Oslo,Norway,2.99
1774,Oslo,Norway,1.42
1775,Oslo,Norway,3.38
1776,Oslo,Norway,2.27
1777,Oslo,Norway,1.85
1778,Oslo,Norway,2.36
1779,Oslo,Norway,3.98
1780,Oslo,Norway,2.20
1781,Oslo,Norway,3.04
1782,Oslo,Norway,1.32
1783,Oslo,Norway,2.85
1784,Oslo,Norway,0.61
1785,Oslo,Norway,1.33
1786,Oslo,Norway,1.08
1787,Oslo,Norway,2.30
1788,Oslo,Norway,1.83
1789,Oslo,Norway,2.70
1790,Oslo,Norway,2.72
1791,Oslo,Norway,2.89
1792,Oslo,Norway,2.51
1793,Oslo,Norway,2.49
1794,Oslo,Norway,3.28
1795,Oslo,Norway,1.55
1796,Oslo,Norway,2.70
1797,Oslo,Norway,3.39
1798,Oslo,Norway,3.33
1799,Oslo,Norway,0.92
1800,Oslo,Norway,1.72
1801,Oslo,Norway,2.35
1802,Oslo,Norway,2.02
1803,Oslo,Norway,1.62
1804,Oslo,Norway,1.75
1805,Oslo,Norway,1.06
1806,Oslo,Norway,2.13
1807,Oslo,Norway,1.86
1808,Oslo,Norway,1.92
1809,Oslo,Norway,1.57
1810,Oslo,Norway,1.59
1811,Oslo,Norway,2.99
1812,Oslo,Norway,0.90
1813,Oslo,Norway,2.46
1814,Oslo,Norway,1.11
1815,Oslo,Norway,2.21
1816,Oslo,Norway,1.36
1817,Oslo,Norway,2.09
1818,Oslo,Norway,2.72
1819,Oslo,Norway,2.67
1820,Oslo,Norway,1.61
1821,Oslo,Norway,2.31
1822,Oslo,Norway,3.74
1823,Oslo,Norway,2.07
1824,Oslo,Norway,2.95
1825,Oslo,Norway,3.09
1826,Oslo,Norway,3.65
1827,Oslo,Norway,2.00
1828,Oslo,Norway,2.59
1829,Oslo,Norway,1.01
1830,Oslo,Norway,1.90
1831,Oslo,Norway,2.67
1832,Oslo,Norway,2.79
1833,Oslo,Norway,2.49
1834,Oslo,Norway,3.27
1835,Oslo,Norway,2.35
1836,Oslo,Norway,1.43
1837,Oslo,Norway,1.61
1838,Oslo,Norway,0.47
1839,Oslo,Norway,1.47
1840,Oslo,Norway,1.87
1841,Oslo,Norway,1.72
1842,Oslo,Norway,3.18
1843,Oslo,Norway,2.34
1844,Oslo,Norway,1.04
1845,Oslo,Norway,1.66
1846,Oslo,Norway,3.32
1847,Oslo,Norway,2.21
1848,Oslo,Norway,1.81
1849,Oslo,Norway,1.45
1850,Oslo,Norway,1.75
1851,Oslo,Norway,2.24
1852,Oslo,Norway,2.65
1853,Oslo,Norway,1.94
1854,Oslo,Norway,2.72
1855,Oslo,Norway,1.07
1856,Oslo,Norway,1.24
1857,Oslo,Norway,3.06
1858,Oslo,Norway,2.96
1859,Oslo,Norway,2.94
1860,Oslo,Norway,1.04
1861,Oslo,Norway,2.50
1862,Oslo,Norway,1.80
1863,Oslo,Norway,3.18
1864,Oslo,Norway,1.34
1865,Oslo,Norway,1.97
1866,Oslo,Norway,2.21
1867,Oslo,Norway,0.71
1868,Oslo,Norway,3.01
1869,Oslo,Norway,1.78
1870,Oslo,Norway,1.57
1871,Oslo,Norway,0.93
1872,Oslo,Norway,3.08
1873,Oslo,Norway,2.85
1874,Oslo,Norway,2.47
1875,Oslo,Norway,1.30
1876,Oslo,Norway,1.48
1877,Oslo,Norway,1.03
1878,Oslo,Norway,2.69
1879,Oslo,Norway,1.35
1880,Oslo,Norway,2.45
1881,Oslo,Norway,0.79
1882,Oslo,Norway,2.92
1883,Oslo,Norway,2.55
1884,Oslo,Norway,2.82
1885,Oslo,Norway,1.68
1886,Oslo,Norway,1.84
1887,Oslo,Norway,2.30
1888,Oslo,Norway,0.80
1889,Oslo,Norway,2.78
1890,Oslo,Norway,2.65
1891,Oslo,Norway,2.46
1892,Oslo,Norway,1.43
1893,Oslo,Norway,1.95
1894,Oslo,Norway,3.31
1895,Oslo,Norway,1.64
1896,Oslo,Norway,2.97
1897,Oslo,Norway,2.51
1898,Oslo,Norway,2.54
1899,Oslo,Norway,2.25
1900,Oslo,Norway,1.65
1901,Oslo,Norway,2.74
1902,Oslo,Norway,1.16
1903,Oslo,Norway,2.41
1904,Oslo,Norway,1.93
1905,Oslo,Norway,2.50
1906,Oslo,Norway,2.99
1907,Oslo,Norway,2.16
1908,Oslo,Norway,2.64
1909,Oslo,Norway,1.54
1910,Oslo,Norway,2.98
1911,Oslo,Norway,3.06
1912,Oslo,Norway,2.43
1913,Oslo,Norway,3.25
1914,Oslo,Norway,3.49
1915,Oslo,Norway,0.85
1916,Oslo,Norway,2.52
1917,Oslo,Norway,1.65
1918,Oslo,Norway,2.48
1919,Oslo,Norway,1.60
1920,Oslo,Norway,3.00
1921,Oslo,Norway,2.89
1922,Oslo,Norway,1.55
1923,Oslo,Norway,1.39
1924,Oslo,Norway,2.28
1925,Oslo,Norway,2.57
1926,Oslo,Norway,2.50
1927,Oslo,Norway,1.88
1928,Oslo,Norway,1.77
1929,Oslo,Norway,2.12
1930,Oslo,Norway,3.80
1931,Oslo,Norway,1.81
1932,Oslo,Norway,3.22
1933,Oslo,Norway,3.34
1934,Oslo,Norway,4.23
1935,Oslo,Norway,2.97
1936,Oslo,Norway,3.06
1937,Oslo,Norway,2.90
1938,Oslo,Norway,3.96
1939,Oslo,Norway,2.88
1940,Oslo,Norway,1.44
1941,Oslo,Norway,1.37
1942,Oslo,Norway,1.17
1943,Oslo,Norway,3.34
1944,Oslo,Norway,2.88
1945,Oslo,Norway,3.29
1946,Oslo,Norway,2.94
1947,Oslo,Norway,2.22
1948,Oslo,Norway,3.01
1949,Oslo,Norway,3.92
1950,Oslo,Norway,2.61
1951,Oslo,Norway,2.61
1952,Oslo,Norway,1.69
1953,Oslo,Norway,3.78
1954,Oslo,Norway,2.24
1955,Oslo,Norway,2.39
1956,Oslo,Norway,1.88
